SITE.ID	sed	temp
WCAP99-1013-2-1	1.156347 	14.3
WCAP99-1014-2-1	1.965806 	12.9
WCAP99-1018-2-1	1.836445 	12.7
WCAP99-1020-2-1	1.235288 	13.9
WCAP99-1021-2-1	1.184286 	10.9
WCAP99-1027-2-1	1.441957 	11.5
WCAP99-1028-2-1	1.484639 	24.2
WCAP99-1035-2-1	1.059798 	13.1
WCAP99-1043-2-1	1.380211 	14.3
WCAP99-1046-2-1	1.059798 	14.9
WCAP99-1048-2-1	1.592124 	19.9
WCAP99-1050-2-1	0.9809768	17.6
WCAP99-1051-2-1	1.928445 	12.9
WCAP99-1055-2-1	0.8846066	14.8
WCAP99-1056-2-1	0.8269998	16.5
WCAP99-1057-2-1	1.210535 	13.7
WCAP99-1060-2-1	1.703496 	10.1
WCAP99-1062-2-1	0.5862657	12.3
WCAP99-1063-2-1	0.8269998	13.9
WCAP99-1064-2-1	1.022173 	21.5
WCAP99-1065-2-1	0.6821021	12.6
WCAP99-1066-2-1	0.2946588	13.3
WCAP99-1067-2-1	0.6821021	15.4
WCAP99-1071-2-1	0.9809768	21.5
WCAP99-1074-2-1	0.7605661	21.5
WCAP99-1075-2-1	1.022173 	15.1
WCAP99-1079-2-1	0        	16  
WCAP99-1090-2-1	0.5862657	13.4
WCAP99-1091-2-1	0.2905646	15.1
WCAP99-1092-2-1	0.8269998	15.2
WCAP99-1100-2-1	0.6821021	17.8
WCAP99-1104-2-1	1.184286 	23.1
WCAP99-1106-2-1	1.623249 	12.4
WCAP99-1111-2-1	0.8269998	12.4
WCAP99-1125-2-1	1.805209 	15.7
WCAP99-1127-2-1	1.622757 	17  
WCAP99-1132-2-1	1.280925 	 6.8
WCOP01-0739-1-1	1.727386 	14.9
WCOP01-0769-2-1	1.612784 	18.5
WCOP01-0779-1-1	0.4631105	18.3
WCOP01-0809-2-1	1.695231 	22.7
WCOP01-0812-2-1	1.638776 	20.9
WCOP99-0502-0-1	0.7439371	 7  
WCOP99-0503-0-1	0.4376127	 6.8
WCOP99-0505-0-1	0.7605661	 7.8
WCOP99-0507-0-1	0.2905646	 8.3
WCOP99-0508-0-1	0.8846066	12.1
WCOP99-0510-0-1	1.811639 	25.4
WCOP99-0511-0-1	1.258706 	 6.6
WCOP99-0511-0-2	1.210535 	 6.9
WCOP99-0511-1-1	1.210535 	 7.3
WCOP99-0511-1-2	1.184286 	 9.8
WCOP99-0512-0-1	1.359926 	15.4
WCOP99-0513-0-1	1.156347 	10.5
WCOP99-0518-0-1	1.247155 	 8.2
WCOP99-0565-1-1	1.393792 	22.9
WCOP99-0566-1-1	1.686806 	17  
WCOP99-0568-1-1	1.497982 	16.1
WCOP99-0569-1-1	1.719568 	19.6
WCOP99-0569-1-2	1.66945  	26.2
WCOP99-0569-2-1	1.552102 	24  
WCOP99-0569-2-2	1.559165 	28.8
WCOP99-0572-1-1	1.426744 	18.8
WCOP99-0574-1-1	1.381601 	10  
WCOP99-0577-1-1	1.025306 	 9.9
WCOP99-0578-1-1	1        	16.1
WCOP99-0591-1-1	1.094421 	12  
WCOP99-0593-2-1	1.836445 	17.7
WCOP99-0595-1-1	1.377618 	18  
WCOP99-0597-2-1	1.172059 	 5.6
WCOP99-0599-1-1	1.361728 	 6.1
WCOP99-0621-2-1	1.280925 	 8.1
WCOP99-0626-2-1	0.6955164	11.2
WCOP99-0634-2-1	1.184286 	 8.7
WCOP99-0637-2-1	1.484639 	20.2
WCOP99-0649-2-1	0.7640036	15.4
WCOP99-0650-2-1	1.559165 	15.3
WIDP99-0501-0-1	0.9457682	 6.8
WIDP99-0502-0-1	1.059798 	10.7
WIDP99-0504-0-1	0.8269998	11.7
WIDP99-0508-0-1	1.322219 	10.1
WIDP99-0510-0-1	0.2905646	 7.5
WIDP99-0511-0-1	1.426744 	25.5
WIDP99-0514-0-1	1.133302 	12.7
WIDP99-0514-0-2	1.444004 	 8  
WIDP99-0514-1-1	1.235288 	 9  
WIDP99-0514-1-2	1.156347 	11  
WIDP99-0515-0-1	1.094421 	 9.7
WIDP99-0516-0-1	1.156347 	 9.2
WIDP99-0520-0-1	1.184286 	 6  
