SITE.ID	sed	temp
99055CSR	0.6661775	NA
99057CSR	1.358281 	11.8
99058CSR	1.927557 	NA
99059CSR	1.527981 	NA
99062CSR	1.478435 	10.3
99063CSR	0        	NA
99065CSR	1.451368 	 8.2
99068CSR	1.075879 	13.9
99069CSR	1.113943 	11.1
99070CSR	1.041393 	NA
99071CSR	1.593085 	14.1
99072CSR	1.527981 	11.5
99073CSR	0.449969 	NA
