SITE.ID	ACENTRELLA	AMBRYSUS	CRICOTOPUS	FALLCEON	HELICOPSYCHE	HEMERODROMIA	HYDROPSYCHE	HYDROPTILA	LOPESCLADIUS	MICROCYLLOEPUS	PENTANEURA	PHYSA	POLYPEDILUM	PROSTOMA	PSEPHENUS	PSEUDOCHIRONOMUS	RHEOTANYTARSUS	SAETHERIA	SIMULIUM	SPERCHON	THIENEMANNIELLA	TRICORYTHODES	ARGIA	ATRACTIDES	ATRICHOPOGON	BAETIS	CALOPARYPHUS	CENTROPTILUM	CHEUMATOPSYCHE	CLADOTANYTARSUS	EUKIEFFERIELLA	ISONYCHIA	LIMNOPHYES	MARUINA	MICROTENDIPES	ORTHOCLADIUS	PARAKIEFFERIELLA	PARAMETRIOCNEMUS	PETROPHILA	PHAENOPSECTRA	SPERCHONOPSIS	TANYTARSUS	TORRENTICOLA	OECETIS	POLYCENTROPUS	CAENIS	GLOSSOSOMA	LARSIA	MICROPSECTRA	NIXE	OPTIOSERVUS	PARALEPTOPHLEBIA	PARATENDIPES	PISIDIUM	THIENEMANNIMYIA	TVETENIA	LEBERTIA	PROTZIA	CHELIFERA	FERRISSIA	RHEOCRICOTOPUS	OCHROTRICHIA	WORMALDIA	CORYNONEURA	DASYHELEA	CHIRONOMUS	DICROTENDIPES	LIMONIA	NILOTANYPUS	AMELETUS	ANTOCHA	BRILLIA	CLEPTELMIS	DICRANOTA	DIXA	DRUNELLA	EPEORUS	HEXATOMA	LEPIDOSTOMA	MALENKA	MICRASEMA	NARPUS	RHYACOPHILA	SWELTSA	ZAITZEVIA	NEOTRICHIA	APATANIA	CINYGMULA	HYDROBAENUS	PAGASTIA	HELICHUS	HYGROBATES	POTTHASTIA	RHABDOMASTIX	CARDIOCLADIUS	HYALELLA	ISOPERLA	WIEDEMANNIA	CRYPTOCHIRONOMUS	AGABUS	AGAPETUS	BRACHYCENTRUS	OPHIOGOMPHUS	TIPULA	ZAPADA	RHITHROGENA	SYNORTHOCLADIUS	PROSIMULIUM	NANOCLADIUS	HETEROTRISSOCLADIUS	NEOPHYLAX	SUWALLIA	STEMPELLINELLA	TESTUDACARUS	GUMAGA	CALINEURIA	DIPHETOR	EPHEMERELLA	EUPARYPHUS	LIMNOPHILA	SERRATELLA	SIALIS	TINODES	AMIOCENTRUS	ARCTOPSYCHE	ATHERIX	CAUDATELLA	DOLOPHILODES	OLIGOPHLEBODES	PTERONARCYS	SKWALA	CLINOCERA	ORDOBREVIA	POLYCELIS	AMPUMIXIS	HESPEROPERLA	ECCLISOMYIA	IRONODES	LARA	EUBRIANAX	NEOPLASTA	PARAPSYCHE	PTERONARCELLA	DICOSMOECUS	DORONEURIA	VISOKA	HYDRAENA	HELENIELLA	LACCOBIUS	OREODYTES	CINYGMA	DESPAXIA	HETERLIMNIUS	MERINGODIXA	YORAPERLA	GLUTOPS	OREOGETON	PARATANYTARSUS	ANAGAPETUS	STEMPELLINA	KRENOSMITTIA	MOSELIA	GYRAULUS	DIAMESA	RADOTANYPUS	PARAPHAENOCLADIUS	MEGARCYS	ATTENELLA	PSYCHOGLYPHA	CHAETOCLADIUS	PARORTHOCLADIUS	NEOTHREMMA	DUBIRAPHIA	STENELMIS
WAZP99-0590-2-1	 0	 0	  4	 45	  0	 0	 12	  0	 0	 25	 1	  0	  4	 0	 0	 0	  1	 0	  2	  1	 0	  0	 1	 0	 0	 131	0	 0	  0	  0	 16	 0	 0	 2	  0	0	  0	 0	14	 0	 0	  0	 0	 0	0	 0	  0	 0	  0	 0	  0	  0	 0	 0	  0	  0	 0	 0	 0	 0	  0	 3	 0	 0	 0	 0	  0	0	 0	 0	 0	  0	  0	 0	 0	  0	  0	 0	  0	  0	  0	 0	 0	 0	  0	 2	 0	  0	 0	 0	0	 0	 0	0	 0	  0	  0	0	 0	0	  0	  0	0	 0	  0	  0	 0	  0	 0	 0	  0	 0	 0	0	 0	 0	  0	  0	 0	 0	  0	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	  0	 0	 0	 0	  0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	0	 0	  0	 0	  0	0	  0	 0	 0	  0	 0	 0	 0	 0	 0	  0	 0	 0	 0	 0	0	0	 0	  0	 0	  0
WAZP99-0598-0-1	 0	 0	 55	  0	  1	 0	  0	  0	 0	  0	 7	  0	  0	 0	 0	 0	  0	 0	  3	  0	 3	  0	 0	 0	 0	  13	0	 0	  0	  0	 14	 0	 0	 0	  0	0	  0	 0	 0	 0	 1	  0	50	 0	9	 0	  0	 0	  0	 0	 18	  3	 0	 5	  0	  2	 2	 0	 0	 0	  3	 0	 0	 1	 0	 0	  0	0	 0	 5	18	  8	  0	 0	 0	  0	 20	 1	 11	  0	 10	 0	 0	 1	  2	 0	31	 23	 6	 2	0	 0	 0	0	 0	  0	  0	0	 0	0	  0	  0	0	 0	  0	  0	 0	  0	 0	 0	  0	 0	 0	0	 0	 0	  0	  0	 0	 0	  0	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	  0	 0	 0	 0	  0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	0	 0	  0	 0	  0	0	  0	 0	 0	  0	 0	 0	 0	 0	 0	  0	 0	 0	 0	 0	0	0	 0	  0	 0	  0
WAZP99-0605-0-1	 0	 0	  2	 17	 33	 0	  7	  8	 0	137	 0	  0	  3	 0	 1	 1	  1	 2	  0	 68	 1	  3	 0	 2	 0	   2	0	 0	 26	  1	  0	 1	 0	 0	  1	0	  1	 0	 0	 0	 2	  3	 1	 3	0	 0	  0	 0	  0	 0	  0	  0	 1	 0	 11	  0	10	 0	 0	 0	  0	 0	 0	 0	 0	 0	  0	0	 0	 0	 0	  0	  0	 0	 0	  0	  0	 0	  0	  0	  0	 0	 0	 0	  0	 0	 0	  0	 0	 0	2	 2	 1	1	 0	  0	  0	0	 0	0	  0	  0	0	 0	  0	  0	 0	  0	 0	 0	  0	 0	 0	0	 0	 0	  0	  0	 0	 0	  0	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	  0	 0	 0	 0	  0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	0	 0	  0	 0	  0	0	  0	 0	 0	  0	 0	 0	 0	 0	 0	  0	 0	 0	 0	 0	0	0	 0	  0	 0	  0
WAZP99-0619-0-1	 0	15	  1	  1	  3	 0	112	  0	 0	 60	 0	  0	  5	 0	 0	 6	 28	 0	 36	 89	 0	  0	 0	 0	 0	   2	0	 0	  3	  0	  1	24	 0	 0	  4	0	  1	 0	 5	 0	 0	  0	 0	 1	0	 0	  0	 0	  0	 0	  0	  0	 0	 0	  1	  0	 0	 0	 0	 0	  0	 0	 0	 0	 0	 0	  0	0	 0	 0	 0	  0	  0	 0	 0	  0	  0	 0	  0	  0	  0	 0	 0	 0	  0	 0	 0	  0	 0	 0	0	 2	 0	0	 0	  0	  0	0	 0	0	  0	  0	0	 0	  0	  0	 0	  0	 0	 0	  0	 0	 0	0	 0	 0	  0	  0	 0	 0	  0	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	  0	 0	 0	 0	  0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	0	 0	  0	 0	  0	0	  0	 0	 0	  0	 0	 0	 0	 0	 0	  0	 0	 0	 0	 0	0	0	 0	  0	 0	  0
WAZP99-0632-1-1	 0	 0	  1	  0	  0	 0	  0	  0	 0	  0	 2	  0	  0	 0	 0	 0	  0	 0	 66	  0	 0	  0	 1	 0	 0	 303	0	 0	  2	  0	  5	 0	 0	 0	  0	0	  0	 2	 0	 0	 0	  1	 0	 0	0	 0	  0	 0	  0	 0	  0	  0	 0	 0	  1	  1	 0	 0	 0	 0	  0	 0	 0	 0	 0	 2	  0	0	 0	 0	 0	  0	  0	 0	 0	  0	 16	 0	  0	  0	  0	 0	 0	 0	  0	 2	 0	  0	 0	 0	0	 0	 0	0	 1	  1	  1	0	 0	0	  0	  0	0	 0	  0	  0	 0	  0	 0	 0	  0	 0	 0	0	 0	 0	  0	  0	 0	 0	  0	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	  0	 0	 0	 0	  0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	0	 0	  0	 0	  0	0	  0	 0	 0	  0	 0	 0	 0	 0	 0	  0	 0	 0	 0	 0	0	0	 0	  0	 0	  0
WAZP99-0632-1-2	 0	 0	  0	  6	  0	 5	 12	 32	 0	  2	 2	  0	  0	 0	 0	 0	  2	 0	  0	 14	 0	  0	 0	 1	 0	 174	0	 0	105	  0	 22	 0	 0	 1	  0	0	  0	 1	 2	 0	 0	  0	 0	 0	1	 0	  0	 0	  2	 0	  0	  0	 0	 0	  3	  0	 0	 0	 0	 0	  4	 1	 0	 0	 0	 1	  0	0	 0	 0	 0	  0	  0	 1	 0	  0	  5	 0	  0	  0	  0	 0	 0	 0	  0	 0	 0	  0	 0	 0	0	 0	 0	0	 0	  0	  0	3	 0	0	  0	  0	0	 0	  0	  0	 0	  0	 0	 0	  0	 0	 0	0	 0	 0	  0	  0	 0	 0	  0	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	  0	 0	 0	 0	  0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	0	 0	  0	 0	  0	0	  0	 0	 0	  0	 0	 0	 0	 0	 0	  0	 0	 0	 0	 0	0	0	 0	  0	 0	  0
WAZP99-0632-2-1	 0	 0	  0	 10	  0	 6	  1	  3	 0	  2	 5	  0	  3	 0	 1	 1	  2	 0	  0	  6	 0	  0	 2	 0	 6	  66	0	 0	 51	  0	 10	 0	 0	 0	  0	0	  0	 0	 0	 0	 0	  2	 0	 0	0	 0	  0	 0	  0	 0	  0	  0	 0	 0	  0	  0	 0	 0	 0	 0	 10	 4	 0	 0	 0	 3	  0	0	 0	 0	 0	  0	  0	 0	 0	  0	  7	 0	  0	  0	  0	 0	 0	 0	  0	11	 0	  0	 0	 0	0	 0	 0	0	 0	  0	  0	0	 0	0	  0	  0	0	 0	  0	  0	 0	  0	 0	 0	  0	 0	 0	0	 0	 0	  0	  0	 0	 0	  0	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	  0	 0	 0	 0	  0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	0	 0	  0	 0	  0	0	  0	 0	 0	  0	 0	 0	 0	 0	 0	  0	 0	 0	 0	 0	0	0	 0	  0	 0	  0
WAZP99-0632-2-2	 0	 0	  0	  1	  0	 0	 19	  0	 0	  5	 4	  0	  5	 0	12	 0	  3	 0	  1	  1	 0	  0	13	 0	 0	 122	0	 0	 47	  0	  1	 0	 0	 0	  0	0	  0	 0	 6	 0	 0	  1	 0	 0	0	 0	  0	 0	  0	 0	  0	  0	 0	 0	  0	  0	 0	 0	 0	 0	  5	 7	 0	 0	 2	 0	  0	0	 0	 0	 0	  0	  0	 1	 0	  0	 57	 0	  0	  0	  0	 0	 0	 0	  0	 6	 0	  0	 0	 0	0	 0	 0	0	 0	  0	  0	0	 2	0	  0	  0	0	 0	  0	  0	 0	  0	 0	 0	  0	 0	 0	0	 0	 0	  0	  0	 0	 0	  0	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	  0	 0	 0	 0	  0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	0	 0	  0	 0	  0	0	  0	 0	 0	  0	 0	 0	 0	 0	 0	  0	 0	 0	 0	 0	0	0	 0	  0	 0	  0
WAZP99-0639-1-1	 0	 0	  0	  0	  0	 0	  0	  0	 0	  0	 1	  0	  0	 0	 0	 3	  1	 0	400	  0	 0	  2	 0	 1	 1	  74	0	 0	  0	  0	  5	 0	 0	 0	  0	0	  0	 3	 0	 2	 0	  0	 0	 0	0	 0	  0	 0	 21	 0	  0	  0	 0	 0	  1	  2	 0	 0	 0	 0	  0	 0	 0	 0	 0	 0	  0	0	 0	 0	 0	  0	  0	 0	 0	  0	  0	 0	  0	  0	  0	 0	 0	 0	  0	 0	 0	  0	 0	 0	0	 1	 0	0	 0	  0	  0	0	 0	3	  0	  0	0	 0	  0	  0	 0	  0	 0	 0	  0	 0	 0	0	 0	 0	  0	  0	 0	 0	  0	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	  0	 0	 0	 0	  0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	0	 0	  0	 0	  0	0	  0	 0	 0	  0	 0	 0	 0	 0	 0	  0	 0	 0	 0	 0	0	0	 0	  0	 0	  0
WAZP99-0648-1-1	 0	 0	  3	  0	  0	 0	  0	  0	 0	  0	 0	  0	  0	 0	 0	 0	  4	 0	  5	  0	 0	  0	 0	 0	 0	  15	0	 0	  2	  0	  2	 0	 0	 0	  0	0	  0	 7	 3	 0	 0	  0	 0	 0	0	 0	  0	 0	  3	 0	  0	  0	 0	 1	  0	  0	 0	 0	 0	12	  0	 0	 0	 0	 0	 0	  0	0	 0	 0	 0	  0	  0	 0	 0	  0	  0	 0	  0	  0	  0	 0	 0	 0	  0	 0	 0	  0	 0	 0	0	 0	 0	0	 3	  0	  0	1	 1	0	  0	  0	0	 0	  0	  0	 0	  0	 0	 0	  0	 0	 0	0	 0	 0	  0	  0	 0	 0	  0	0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	  0	 0	 0	 0	  0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	0	 0	  0	 0	  0	0	  0	 0	 0	  0	 0	 0	 0	 0	 0	  0	 0	 0	 0	 0	0	0	 0	  0	 0	  0
