SITE.ID	ABLABESMYIA	APEDILUM	BOREOCHLUS	BRILLIA	BRYOPHAENOCLADIUS	CARDIOCLADIUS	CHAETOCLADIUS	CHIRONOMUS	CLADOTANYTARSUS	CORYNONEURA	CRICOTOPUS	DIAMESA	EUKIEFFERIELLA	HELENIELLA	HETEROTRISSOCLADIUS	HYDROBAENUS	KRENOPELOPIA	KRENOSMITTIA	LARSIA	LIMNOPHYES	LOPESCLADIUS	MACROPELOPIA	METRIOCNEMUS	MICROPSECTRA	MICHROTENDIPES	MICROTENDIPES	NILOTANYPUS	PAGASTIA	PARAKIEFFERIELLA	PARAMETRIOCNEMUS	PARAPHAENOCLADIUS	PARATANYTARSUS	PARORTHOCLADIUS	PENTANEURA	PHAENOPSECTRA	POLYPEDILUM	POTTHASTIA	PSECTROTANYPUS	PSEUDODIAMESA	PSEUDORTHOCLADIUS	RADOTANYPUS	RHEOCRICOTOPUS	RHEOTANYTARSUS	STEMPELLINA	STEMPELLINELLA	STILOCLADIUS	SYNORTHOCLADIUS	TANYTARSUS	THIENEMANNIELLA	THIENEMANNIMYIA	TVETENIA	MICROPSECTRA.TANYTARSUS	PARAMERINA.ZAVRELIMYIA	SERGENTIA	ORTHOCLADIUS	AMPHIZOA	GYRINUS	AGABUS	OREODYTES	AMPUMIXIS	CLEPTELMIS	DUBIRAPHIA	HETERLIMNIUS	LARA	NARPUS	OPTIOSERVUS	ORDOBREVIA	ZAITZEVIA	C..BARR.UNDESCRIBED	BRYCHIUS	HALIPLUS	AMETOR	BEROSUS	ENOCHRUS	HELOPHORUS	CYMBIODYTA	CRENITIS	ANACAENA	HYDROBIUS	ACNEUS	EUBRIANAX	PSEPHENUS	OCHTHEBIUS	HYDRAENA	CAECIDOTEA	HYALELLA	GAMMARUS	PACIFASTACUS	DEUTEROPHLEBIA	ATHERIX	LIMNOPHORA	GLUTOPS	PTYCHOPTERA	THAUMALEA	AGATHON	BLEPHARICERA	PHILORUS	BEZZIA.PALPOMYIA	ATRICHOPOGON	FORCIPOMYIA	CULICOIDES	DIXA	DIXELLA	MERINGODIXA	CHELIFERA	CLINOCERA	HEMERODROMIA	OREOGETON	WIEDEMANNIA	MARUINA	PERICOMA	PSYCHODA	PROSIMULIUM	SIMULIUM	CALOPARYPHUS	ANTOCHA	MOLOPHILUS	DICRANOTA	CRYPTOLABIS	HESPEROCONOPA	HEXATOMA	PILARIA	LIMNOPHILA	LIMONIA	PEDICIA	RHABDOMASTIX	TIPULA	GONOMYIA	BAETIS	CENTROPTILUM	DIPHETOR	LABIOBAETIS	ACENTRELLA	PROCLOEON	FALLCEON	CAENIS	ATTENELLA	CAUDATELLA	DRUNELLA	EPHEMERELLA	SERRATELLA	TIMPANOGA	CINYGMA	CINYGMULA	EPEORUS	HEPTAGENIA	NIXE	NIXE.LEUCOCRUTA	IRONODES	RHITHROGENA	PARALEPTOPHLEBIA	AMELETUS	TRICORYTHODES	FERRISIA	FLUMINICOLA	POTAMOPYRGUS	FOSSARIA	PHYSELLA	PHYSA	PROMENETUS	JUGA	GERRIS	LEBERTIA	ESTELLOXUS	WANDESIA	PROTZIA	ALBERTATHYAS	SPERCHON	SPERCHONOPSIS	TORRENTICOLA	TESTUDACARUS	HYGROBATES	ATRACTIDES	MIDEOPSIS	OROHERMES	SIALIS	HYDRA	POLYCELIS	PROSTOMA	CORDULEGASTER	OCTOGOMPHUS	OPHIOGOMPHUS	PISIDIUM	CORBICULA	KATHROPERLA	PARAPERLA	PLUMIPERLA	SUWALLIA	SWELTSA	DESPAXIA	MOSELIA	NEMOURA	AMPHINEMURA	MALENKA	PODMOSTA	PROSTOIA	SOYEDINA	VISOKA	ZAPADA	CALINEURIA	CLAASSENIA	DORONEURIA	HESPEROPERLA	CULTUS	DIURA	ISOPERLA	KOGOTUS	MEGARCYS	PERLINODES	SETVENA	SKWALA	SOLIPERLA	YORAPERLA	SIERRAPERLA	PTERONARCELLA	PTERONARCYS	HETEROPLECTRON	HELICOPSYCHE	LEPIDOSTOMA	AMIOCENTRUS	RHYACOPHILA	BRACHYCENTRUS	MICRASEMA	APATANIA	PEDOMOECUS	AGAPETUS	ANAGAPETUS	GLOSSOSOMA	PROTOPTILA	ARCTOPSYCHE	PARAPSYCHE	CHEUMATOPSYCHE	HYDROPSYCHE	PALAEGAPETUS	AGRAYLEA	HYDROPTILA	LEUCOTRICHIA	NEOTRICHIA	OCHROTRICHIA	METRICHIA.SP.	MYSTACIDES	OECETIS	CERACLEA	PSEUDOSTENOPHYLAX	ALLOCOSMOECUS	CRYPTOCHIA	DESMONA	DICOSMOECUS	ECCLISOCOSMOECUS	ECCLISOMYIA	GOERA	HYDATOPHYLAX	ONOCOSMOECUS	PHILOCASCA	PSYCHOGLYPHA	NEROPHILUS	NAMAMYIA	DOLOPHILODES	WORMALDIA	POLYCENTROPUS	PSYCHOMYIA	NEOTHREMMA	NEOPHYLAX	OLIGOPHLEBODES	FARULA	GUMAGA
00030REM	0	0	0	  0	0	0	0	0	0	 0	 0	0	 0	0	0	0	0	0	0	0	 0	0	0	  0	0	0	0	 0	0	 0	0	0	0	0	 0	 0	 0	0	0	0	 0	 0	 0	0	 0	0	0	 0	 0	0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	  0	 0	 0	  2	 0	  0	0	0	0	 0	0	0	0	0	 0	0	0	 0	 0	 0	0	0	0	 0	  0	0	0	0	0	 0	 0	 0	0	0	0	 0	0	0	0	  0	  0	 0	  0	 0	0	  0	0	 0	 0	0	 0	  6	0	  0	0	 17	 0	0	 1	  0	0	 0	0	0	0	0	 42	 0	  1	0	 0	0	0	0	 0	 0	 12	 0	 3	 0	  0	  2	  2	 0	 0	0	 2	102	  1	 1	0	0	 0	 0	 0	0	 0	 0	  0	0	 0	0	0	0	0	0	0	 0	0	0	0	0	0	 0	 0	 0	 0	0	0	0	 0	0	  0	 0	 0	 0	  2	 1	  0	0	  0	 0	0	0	 0	 0	 19	10	0	  1	 0	 0	 0	 0	  0	 0	 0	0	 0	 0	  1	0	 0	  1	 0	0	  2	 0	 11	 0	 1	  2	0	 0	 0	 36	0	10	 1	 0	  1	0	 0	 0	0	0	0	0	 0	0	0	0	0	0	0	 0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	 0	 0	 0	 0	0	 0
00031CSR	0	0	0	  0	0	0	0	0	0	 0	 0	0	 0	0	0	0	0	0	0	0	 0	0	0	  0	0	0	0	 0	0	 0	0	0	0	0	 0	 0	 0	0	0	0	 0	 0	 0	0	 0	0	0	 0	 0	0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	  0	 0	 0	  0	 0	  0	0	0	0	 0	0	0	0	0	 0	0	0	 0	 0	 0	0	0	0	 0	  0	0	0	0	0	 0	 1	 0	0	0	0	 0	0	0	0	  0	  0	 0	  0	 0	0	  0	0	 0	 0	0	 0	  0	0	  0	0	  2	 1	0	 0	  0	0	 0	0	0	0	0	 18	 0	  4	0	 0	0	0	0	 0	 0	  3	54	 0	 0	 54	  3	  2	 0	 0	0	15	  0	 20	 2	0	0	 0	 0	 0	0	 0	 0	  0	0	 0	0	0	0	0	0	0	 0	0	0	0	0	0	 0	 0	 0	 0	0	0	0	 0	0	  0	 0	 0	 0	 14	 4	 11	0	  2	 0	0	0	 0	 1	  1	 0	0	  3	 0	 0	12	 0	  0	 0	 0	0	 0	 1	141	0	 0	  0	 0	0	  1	 0	 14	 0	 1	  0	0	 0	 0	  1	0	 0	 2	 0	  0	0	 0	 0	0	0	0	0	 0	0	0	0	0	0	0	 0	 4	 0	 0	 0	0	0	0	0	0	 0	 3	 0	 0	 0	 1	 0	0	 0
00031REM	0	0	0	  0	0	0	0	0	0	 0	 0	0	 0	0	0	0	0	0	0	0	 0	0	0	  0	0	0	0	 0	0	 0	0	0	0	0	 0	 0	 0	0	0	0	 0	 0	 0	0	 0	0	0	 0	 0	0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	  0	 0	 0	  0	 0	  0	0	0	0	 0	0	0	0	0	 0	0	0	 0	 0	 0	0	0	0	 0	  0	0	0	0	0	 0	 0	 0	0	0	0	 0	0	0	0	  0	  0	 0	  0	 0	0	  2	0	 0	 0	0	 2	  1	0	  0	0	  1	 0	0	 0	  0	0	 0	0	0	0	0	 48	 0	  0	0	 0	0	0	0	 0	 6	 98	 0	 7	 0	  0	  7	 25	 0	 0	0	 0	121	  0	 2	0	0	 0	 0	 0	0	 0	 0	  0	0	 0	0	0	0	0	0	0	 0	0	0	0	0	0	 0	 0	 0	 0	0	0	0	 0	0	  0	 0	 0	 0	  4	 0	  0	0	  0	 0	0	0	 0	 4	  6	 0	0	  1	 0	 0	 0	 0	  0	 3	 0	0	 1	 0	  0	0	 0	  0	 0	0	  0	 0	 18	 0	 0	  0	0	 0	 0	 18	0	 0	 0	 0	  0	0	 0	 0	0	0	0	0	 0	0	0	0	0	0	0	 0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	 0	 0	 1	 0	0	 0
00032REM	0	0	0	  0	0	0	0	0	0	 0	 0	0	 0	0	0	0	0	0	0	0	 0	0	0	  0	0	0	0	 0	0	 0	0	0	0	0	 0	 0	 0	0	0	0	 0	 0	 0	0	 0	0	0	 0	 0	0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	  0	 0	 0	  0	 0	  0	0	0	0	 0	0	0	0	0	 0	0	0	 0	 0	 0	0	0	0	 0	  0	0	0	0	0	 0	 0	 0	0	0	0	 0	0	0	0	  1	  0	 0	  0	 0	0	  0	0	 0	 0	0	 0	  0	0	  0	0	 17	 0	0	 6	  0	0	 0	0	0	0	0	 69	 0	  1	0	 0	0	0	0	 0	 0	 20	 0	 3	 0	  0	  0	  4	 0	 0	0	 0	  5	  0	 3	0	0	 0	 0	 0	0	 0	 0	  0	0	 0	0	0	0	0	0	0	 0	0	0	0	0	0	 0	 0	 0	 0	0	0	0	 0	0	  0	 0	 0	 0	 10	 0	  0	0	  0	 0	0	0	 0	 0	  7	11	0	  0	 0	 0	 0	 0	  0	 0	 0	0	11	 0	  1	0	 0	  0	 0	0	  0	 0	 10	 0	 3	  0	0	 4	 0	260	0	 0	 0	 0	  4	0	 0	 0	0	0	0	0	 0	0	0	0	0	0	0	 0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	 0	 0	30	 4	0	 0
00033CSR	0	0	0	  0	0	0	0	0	0	 0	 0	0	 0	0	0	0	0	0	0	0	 0	0	0	  0	0	0	0	 0	0	 0	0	0	0	0	 0	 0	 0	0	0	0	 0	 0	 0	0	 0	0	0	 0	 0	0	 0	 0	 0	 0	0	0	0	0	0	 0	 2	 0	  0	 0	 0	  0	 0	  0	0	0	0	 0	1	0	0	0	 0	0	0	 0	 0	 0	0	6	0	 0	  0	0	0	0	0	 0	 0	 0	0	0	0	 0	0	0	0	 12	  0	 0	  0	 0	0	  0	0	 0	 0	0	 0	  0	0	  0	0	  4	 0	0	 0	  0	0	 0	0	0	0	0	  0	 0	  9	0	 0	0	0	0	 0	 0	  0	 0	 0	 0	 42	  0	  0	 0	 0	0	 7	  0	 19	 1	0	0	 0	 0	 0	0	 0	 0	  0	0	 0	0	0	0	0	0	0	 0	0	0	0	0	0	 0	 0	 0	 0	0	0	0	 0	0	  0	 0	 0	 0	 33	 0	  0	0	 59	 0	0	0	 0	 0	 60	 2	0	  0	 0	 0	 0	22	  0	 0	 0	0	 0	 0	  1	0	13	  0	 0	0	 28	 0	  7	 0	15	  0	0	 0	 0	  0	0	 0	15	 0	  0	0	 0	 0	0	0	0	0	 0	0	0	0	0	0	0	 0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	 0	 0	 0	 0	0	 0
00033REM	0	0	0	  0	0	0	0	0	0	 0	 0	0	 0	0	0	0	0	0	0	0	 0	0	0	  0	0	0	0	 0	0	 0	0	0	0	0	 0	 0	 0	0	0	0	 0	 0	 0	0	 0	0	0	 0	 0	0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	  4	 0	 0	  0	 0	  0	0	0	0	 0	0	0	0	0	 0	0	0	 0	 0	 0	0	0	0	 0	  0	0	0	0	0	 0	 0	 0	0	0	0	 0	0	0	0	  1	  0	 0	  0	 3	0	  0	0	 1	 0	0	 0	 18	0	  3	0	  1	 0	0	 0	  0	0	 0	0	0	0	0	225	 0	  0	0	 0	0	0	0	 0	 3	 76	 4	 6	 0	  0	  1	 91	 0	 0	0	 0	 34	  6	 0	0	0	 0	 0	 0	0	 0	 0	  0	0	 0	0	0	0	0	0	0	 0	0	0	0	0	0	 0	 0	 0	 0	0	0	0	 0	0	  0	 0	 0	 0	  9	 0	  0	0	  3	 0	0	0	 0	 0	 10	 4	0	  2	 0	 0	 0	 0	  0	 1	 0	0	 4	 1	  3	0	 0	  0	 0	0	  0	 0	 22	13	 6	  0	0	 0	 0	 35	0	10	 0	 0	  0	0	 0	 0	0	0	0	0	 0	0	0	0	0	0	0	 0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	 0	 0	19	13	0	 0
00034CSR	0	0	0	  0	0	0	0	0	0	 0	 0	0	 0	0	0	0	0	0	0	0	 0	0	0	  0	0	0	0	 0	0	 0	0	0	0	0	 0	 0	 0	0	0	0	 0	 0	 0	0	 0	0	0	 0	 0	0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	  3	 0	 1	  0	 0	  0	0	0	0	 0	0	0	0	0	 0	0	0	 0	 0	 0	0	0	0	 0	  0	0	0	0	0	 0	 0	 0	0	0	0	 0	0	0	0	  1	  0	 0	  0	 0	0	  0	0	 0	 0	0	 0	  0	0	  0	0	  2	 0	0	 1	  0	0	 0	0	0	0	0	 39	 0	  5	0	 0	0	0	0	 0	 0	  5	 0	 0	 0	  1	  3	  1	 0	 0	0	 2	 41	 11	 0	0	0	 0	 0	 0	0	 0	 0	  0	0	 0	0	0	0	0	0	0	 0	0	0	0	0	0	 0	 0	 0	 0	0	0	0	 0	0	  0	 0	 0	 0	 15	 0	  0	0	 71	 0	0	0	 0	 0	 13	 2	0	  3	 0	 0	 0	 0	  0	 0	 0	0	 0	 0	  7	0	 0	  5	 0	0	  2	 0	 45	 0	 0	  0	0	 0	 0	 93	0	 0	 4	 0	  0	0	 0	 0	0	0	0	0	 0	0	0	0	0	0	0	 0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	 0	 0	 0	 0	0	 0
00034REM	0	0	0	  0	0	0	0	0	0	 0	 0	0	 0	0	0	0	0	0	0	0	 0	0	0	  0	0	0	0	 0	0	 0	0	0	0	0	 0	 0	 0	0	0	0	 0	 0	 0	0	 0	0	0	 0	 0	0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	  7	 0	 1	  2	 0	 13	0	0	0	 0	0	0	0	0	 0	0	0	 0	 0	 0	0	0	0	 0	  0	0	0	0	0	 0	 0	 0	0	0	0	 0	0	0	0	  0	  0	 0	  1	 3	0	  0	0	 0	 0	0	 0	  4	0	  2	0	 28	 0	0	 1	  0	0	 0	0	0	1	0	260	 1	  3	0	 7	0	0	0	 0	 0	  9	 4	 1	 0	  0	  7	  1	 0	 1	0	 0	  7	  0	16	0	0	 0	 0	 0	0	 0	 0	  0	0	 0	0	0	0	0	0	0	 0	0	0	0	0	0	 0	 0	 0	 0	0	0	0	 0	0	  0	 0	 0	 0	  6	 0	  0	0	  1	 0	0	0	 0	 0	  6	 1	0	  0	 0	 0	 0	 0	  0	 0	 0	0	 6	 0	  0	0	 0	  0	 0	0	  9	 0	  6	16	 6	  0	0	 0	 0	  5	0	 0	 0	 0	  1	0	 0	 2	0	0	0	0	 0	0	0	0	0	0	0	 0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	 0	 0	15	 0	0	 0
00035CSR	0	0	0	  0	0	0	0	0	0	 0	 0	0	 0	0	0	0	0	0	0	0	 0	0	0	  0	0	0	0	 0	0	 0	0	0	0	0	 0	 0	 0	0	0	0	 0	 0	 0	0	 0	0	0	 0	 0	0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	  0	 0	 0	 23	 0	 13	0	0	0	 0	0	0	0	0	 0	0	0	 0	 0	 0	0	0	0	 0	  0	0	0	0	0	 0	 0	 0	0	0	0	 0	0	0	0	  0	  0	 0	  3	 0	0	  0	0	 0	 0	0	 0	  2	0	  9	0	  3	 0	0	 2	  0	0	 0	0	0	0	0	 14	 0	  4	0	 8	0	0	0	 0	 0	  0	 0	 0	 0	  0	  0	 10	 0	 0	0	 0	 11	  0	 0	0	0	12	 0	 0	0	 0	 0	  4	0	 0	0	0	0	0	0	0	 0	0	0	0	0	0	 0	 0	 0	 0	0	0	0	 0	0	  0	 0	 0	 0	  0	 0	  0	0	  0	 0	0	0	 0	 0	  0	13	0	  0	 0	 0	 0	 0	  0	 0	 0	0	 0	 0	  0	0	 0	  0	 0	0	  0	 0	  6	 0	 0	  0	0	 0	 0	 29	0	 0	 0	 0	 27	0	 0	 0	0	0	0	0	 0	0	0	0	0	0	0	 2	 0	 0	 0	 0	0	0	0	0	0	 0	 1	 0	 0	 0	 0	 0	0	 0
00035REM	0	0	0	  0	0	0	0	0	0	 0	 0	0	 0	0	0	0	0	0	0	0	 0	0	0	  0	0	0	0	 0	0	 0	0	0	0	0	 0	 0	 0	0	0	0	 0	 0	 0	0	 0	0	0	 0	 0	0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	  0	 0	 0	  0	 0	  0	0	0	0	 0	0	0	0	0	 0	0	0	 0	 0	 0	0	0	0	 0	  0	0	0	0	0	 0	 0	 0	0	0	0	 0	0	0	0	  0	  0	 0	  0	 0	0	  0	0	 0	 0	0	 0	  0	0	  0	0	  0	 0	0	 0	  0	0	 0	0	0	0	0	 13	 0	  0	0	 0	0	0	0	 0	 0	  1	 0	 0	 0	  0	  0	 10	 0	 0	0	 0	  4	  0	 0	0	0	 0	 0	 0	0	 0	 0	  0	0	 0	0	0	0	0	0	0	 0	0	0	0	0	0	 0	 0	 0	 0	0	0	0	 0	0	  0	 0	 0	 0	  0	 0	  0	0	  0	 0	0	0	 0	 0	  2	 0	0	  0	 0	 0	 0	 0	  0	 2	 0	0	 0	 0	  0	0	 0	  0	 0	0	  0	 0	  4	 0	 0	  0	0	 0	 0	  0	0	 0	 0	 0	  0	0	 0	 0	0	0	0	0	 0	0	0	0	0	0	0	 0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	 0	 1	 0	 1	0	 0
00036CSR	0	0	0	  0	0	0	0	0	0	 0	 0	0	 0	0	0	0	0	0	0	0	 0	0	0	  0	0	0	0	 0	0	 0	0	0	0	0	 0	 0	 0	0	0	0	 0	 0	 0	0	 0	0	0	 0	 0	0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	  4	 2	 0	 20	 0	  2	0	0	0	 0	0	0	0	0	 0	0	0	 0	 0	 0	0	0	0	 0	  0	2	0	0	0	 0	 0	 0	0	0	0	 0	0	0	0	  2	  0	 0	  2	 0	0	  0	0	 0	 0	0	 0	  4	0	  1	0	 10	 0	0	 4	  0	2	 0	0	0	0	0	 28	 0	  3	0	 0	0	0	0	 0	 0	  0	 0	 2	 0	  0	  7	 17	 0	 0	0	 0	  3	  5	 0	0	0	 0	 0	 0	0	 0	 0	  1	0	 0	0	0	0	0	0	0	 0	0	0	0	0	0	 0	 0	 0	 0	0	0	0	 0	0	  0	 1	 0	 0	 12	 1	  0	0	 49	 0	0	0	 0	 0	 16	19	0	  1	12	 0	 0	 0	  0	 0	 0	0	 0	 0	  3	0	 0	  0	 0	0	  0	 0	 12	 0	 6	  0	0	 0	 0	 39	0	 0	 0	 0	  0	0	 0	 0	0	0	0	0	 0	0	0	0	0	0	0	 0	 0	 0	 0	 0	0	0	0	0	0	 0	38	 0	 0	 0	 2	 0	0	 0
00036REM	0	0	0	  0	0	0	0	0	0	 0	 0	0	 0	0	0	0	0	0	0	0	 0	0	0	  0	0	0	0	 0	0	 0	0	0	0	0	 0	 0	 0	0	0	0	 0	 0	 0	0	 0	0	0	 0	 0	0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	 13	 1	 0	  0	 0	  0	0	0	0	 0	0	0	0	0	 0	0	0	 0	 0	 0	0	1	0	 0	  0	0	0	0	0	 0	 0	 0	0	0	0	 0	0	0	0	  0	  0	 0	  1	 0	0	  0	0	 0	 0	0	 0	  8	0	  0	0	  2	 0	0	 1	  0	0	 0	0	0	0	0	 77	 0	  0	0	 0	0	0	0	 0	31	 29	 1	 2	 0	  0	  0	 62	 0	 0	0	 1	 66	  4	 1	0	0	 2	 0	 0	0	 0	 0	  0	0	 0	0	0	0	0	0	0	 0	0	0	0	0	0	 1	 0	 0	 0	0	0	0	 0	0	  1	 0	 0	 0	 27	 1	  0	0	  0	 0	0	0	 0	 6	 18	 2	0	  4	 0	 0	 0	 0	  0	 1	 0	0	 0	 1	 31	0	 0	  4	 0	0	  0	 0	 17	 1	 1	  0	0	 0	 0	 19	0	 2	 4	 0	  0	0	 0	 0	0	0	0	0	 0	0	0	0	0	0	0	 0	 0	 1	 0	 0	0	0	0	0	0	 0	 0	 0	 0	 0	21	 4	0	 0
00037CSR	0	0	0	  0	0	0	0	0	0	 0	 0	0	 0	0	0	0	0	0	0	0	 0	0	0	  0	0	0	0	 0	0	 0	0	0	0	0	 0	 0	 0	0	0	0	 0	 0	 0	0	 0	0	0	 0	 0	0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	  0	 0	 0	 17	 0	 39	0	0	0	 0	0	0	0	0	 0	0	0	 0	 0	 0	0	0	0	 0	  0	0	0	0	0	 0	 0	 0	0	0	0	 0	0	0	0	  0	  0	 0	  0	 0	0	  0	0	 0	 0	0	 0	  1	0	  2	0	  2	 0	0	 0	  0	0	 0	0	0	0	0	 18	 0	  7	0	 0	0	0	0	 0	 0	  0	 0	 0	 0	  0	  0	  9	 0	 0	0	 0	  0	  0	 0	0	0	96	 0	 0	0	 0	 0	 43	0	 0	0	0	0	0	0	0	 0	0	0	0	0	0	 0	 0	 0	 2	0	0	0	 0	0	  0	 0	 0	 0	  4	 0	  0	0	  0	 0	0	0	 0	 0	  8	22	0	  0	 0	 0	 0	 0	  0	 0	 0	0	 0	 0	  0	0	 0	  1	 0	0	  0	 0	  6	 0	 1	  0	0	 0	 0	 12	8	 0	 0	56	  7	0	 0	 4	0	0	0	0	 0	0	0	0	0	0	0	 0	 0	 0	 0	 0	0	0	0	0	0	 0	61	 0	 0	 0	 0	 0	0	 0
00038CSR	0	0	0	  0	0	0	0	0	0	 0	 0	0	 0	0	0	0	0	0	0	0	 0	0	0	  0	0	0	0	 0	0	 0	0	0	0	0	 0	 0	 0	0	0	0	 0	 0	 0	0	 0	0	0	 0	 0	0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	 62	 1	 0	  0	 0	  0	0	0	0	 0	0	0	0	0	 0	0	0	 0	66	 0	0	0	0	 0	  0	0	0	0	0	 0	 0	 1	0	0	0	 0	0	0	0	  1	  0	 0	  3	 0	0	  0	0	 0	 0	0	 0	  3	0	  0	0	  2	 0	0	 3	  0	0	 0	0	0	0	0	 32	 0	  0	0	 0	0	0	0	 0	 0	  9	 0	 0	 0	  0	 14	  0	 0	 0	0	14	  0	  8	 9	0	0	 0	 0	 0	0	 0	 0	  0	0	 0	0	0	0	0	0	0	 0	0	0	0	0	0	 0	 0	 0	 0	2	0	0	 0	0	  0	 0	 0	 0	 42	 1	  0	0	 34	 0	0	0	 0	 0	 18	 5	0	  0	 0	 0	 0	 0	  0	 0	 0	0	 0	 0	  2	0	 0	  1	 0	0	  0	 0	 14	 0	 0	  4	0	 1	 0	 18	0	 0	 4	 0	 58	0	 0	 0	0	0	0	0	 0	0	0	0	0	0	0	 0	 0	 0	 0	 0	0	0	0	0	8	 0	 0	 0	 0	 0	 0	 0	0	 0
00039CSR	0	0	0	  0	0	0	0	0	0	 0	 0	0	 0	0	0	0	0	0	0	0	 0	0	0	  0	0	0	0	 0	0	 0	0	0	0	0	 0	 0	 0	0	0	0	 0	 0	 0	0	 0	0	0	 0	 0	0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	 20	 0	 1	  0	 0	  0	0	0	0	 0	0	0	0	0	 0	0	0	 0	 0	 0	0	0	0	 0	  0	0	0	0	0	 1	 0	 0	0	0	0	 0	0	0	0	  0	  1	 0	  4	 0	0	  0	0	 0	 0	0	 0	  3	0	  0	0	  0	 0	0	 5	  0	0	 0	0	1	0	0	 33	 0	  0	0	 0	0	0	0	 6	 0	 95	 0	 4	 0	  0	 34	  0	 0	 0	0	 0	  7	  2	 2	0	0	 0	 0	 0	0	 0	 0	  0	0	 0	0	0	0	0	0	0	 0	0	0	0	0	0	 0	 0	 0	 0	0	0	0	 0	0	  0	 0	 0	 0	  4	 1	  1	0	  0	 0	0	0	 0	 0	 31	 7	0	  0	 0	 0	 0	 0	  0	 0	 0	0	 0	 0	  1	0	 0	  0	 0	0	  0	 0	 16	 0	 1	 16	0	 0	 0	 31	0	 0	 0	 0	  0	0	 0	 0	0	0	0	0	 0	0	0	0	0	0	0	 0	 0	38	 0	 0	1	0	0	0	0	 0	 0	 0	 0	 0	 1	 0	0	 2
00040CSR	0	0	0	  0	0	0	0	0	0	 0	 0	0	 0	0	0	0	0	0	0	0	 0	0	0	  0	0	0	0	 0	0	 0	0	0	0	0	 0	 0	 0	0	0	0	 0	 0	 0	0	 0	0	0	 0	 0	0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	 35	 0	 4	  0	 0	  0	0	0	0	 0	0	0	0	0	 0	0	0	 0	 0	 0	0	0	0	 0	  0	0	0	0	0	 2	 0	 0	0	0	0	 0	0	0	0	  1	  0	 0	  0	 2	0	  0	0	 0	 0	0	 0	  0	0	  1	0	  0	 0	0	 0	  0	0	 0	0	0	0	0	103	 0	  0	0	 0	0	0	0	 0	 0	 97	 0	 2	 0	  0	  3	 22	 0	 0	0	 2	 38	  0	 3	0	0	 0	 0	 0	0	 0	 0	  0	0	 0	0	0	0	0	0	0	 0	0	0	0	0	1	 0	 0	 0	 0	0	0	0	 0	0	  0	 0	 0	 0	  0	 1	  3	0	  0	 0	0	0	 0	 6	  7	 9	0	  4	 0	 0	 0	 0	  0	 5	 0	0	 0	 0	  1	0	 0	  1	 0	0	  0	 0	 21	 0	 1	  1	1	 0	 0	 47	0	20	 2	 0	  4	0	 0	 0	0	0	0	0	 0	0	0	0	0	0	0	 0	 0	 0	 0	 0	0	0	0	0	0	 0	 0	 0	 0	 0	 1	 0	0	 0
